# Iso classes covered by N5Realizers.v dispatcher
# (count=58 of 61)
# Format: Class <id> | |E|=<count> | edges = ... | lemmas = [<names>]
Class  35 | |E|= 6 | edges = [(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (4, 2)] | lemmas = ['n5_T_shape_extended_two_realizer', 'n5_N_plus_bot_pendant_on_right_two_realizer']
Class  36 | |E|= 6 | edges = [(0, 1), (0, 2), (0, 3), (1, 2), (3, 2), (4, 2)] | lemmas = ['n5_3claw_down_two_leaves_share_bot_two_realizer', 'n5_diamond_pendant_top_only_two_realizer']
Class  37 | |E|= 6 | edges = [(0, 1), (0, 2), (0, 3), (1, 2), (4, 1), (4, 2)] | lemmas = ['n5_inv_T_shape_extended_two_realizer', 'n5_inv_N_plus_top_pendant_on_right_two_realizer']
Class  39 | |E|= 6 | edges = [(0, 1), (0, 2), (0, 3), (4, 1), (4, 2), (4, 3)] | lemmas = ['n5_K_3_2_two_realizer']
Class  41 | |E|= 6 | edges = [(0, 1), (0, 2), (1, 2), (3, 2), (3, 4), (4, 2)] | lemmas = ['n5_3chain_chain_share_top_two_realizer', 'n5_chain3_top_pendant_with_chain_below_two_realizer']
Class  42 | |E|= 6 | edges = [(0, 1), (0, 2), (3, 1), (3, 2), (4, 1), (4, 2)] | lemmas = ['n5_K_2_3_two_realizer']
Class  43 | |E|= 7 | edges = [(0, 1), (0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 4)] | lemmas = ['n5_chain2_plus_3claw_top_two_realizer', 'n5_3claw_up_chain_below_apex_two_realizer']
Class  44 | |E|= 7 | edges = [(0, 1), (0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (2, 3)] | lemmas = ['n5_chain4_bot_pendant_two_realizer']
Class  45 | |E|= 7 | edges = [(0, 1), (0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (4, 2)] | lemmas = ['n5_diamond_pendant_intermediate_above_two_realizer']
Class  46 | |E|= 7 | edges = [(0, 1), (0, 2), (0, 3), (0, 4), (1, 2), (3, 2), (4, 2)] | lemmas = ['n5_3fan_two_realizer']
Class  47 | |E|= 7 | edges = [(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 3), (4, 3)] | lemmas = ['n5_chain4_top_pendant_two_realizer']
Class  48 | |E|= 7 | edges = [(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (4, 2), (4, 3)] | lemmas = ['n5_bowtie_pendant_down_two_realizer']
Class  49 | |E|= 7 | edges = [(0, 1), (0, 2), (0, 3), (1, 2), (3, 2), (4, 1), (4, 2)] | lemmas = ['n5_diamond_pendant_intermediate_below_two_realizer']
Class  50 | |E|= 7 | edges = [(0, 1), (0, 2), (0, 3), (1, 2), (4, 1), (4, 2), (4, 3)] | lemmas = ['n5_bowtie_pendant_up_two_realizer']
Class  51 | |E|= 7 | edges = [(0, 1), (0, 2), (1, 2), (3, 1), (3, 2), (4, 1), (4, 2)] | lemmas = ['n5_chain2_plus_3claw_bot_two_realizer', 'n5_3claw_down_chain_above_apex_two_realizer']
Class  52 | |E|= 8 | edges = [(0, 1), (0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 4), (2, 3)] | lemmas = ['n5_Y_up_pendant_above_two_realizer', 'n5_chain4_pendant_above_second_two_realizer']
Class  53 | |E|= 8 | edges = [(0, 1), (0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (2, 3), (4, 3)] | lemmas = ['n5_pentagon_two_realizer']
Class  54 | |E|= 8 | edges = [(0, 1), (0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (4, 2), (4, 3)] | lemmas = ['n5_3_layer_diamond_two_realizer', 'n5_bowtie_bot_cap_two_realizer']
Class  55 | |E|= 8 | edges = [(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 3), (4, 2), (4, 3)] | lemmas = ['n5_Y_down_pendant_two_realizer', 'n5_chain4_pendant_below_third_two_realizer']
Class  56 | |E|= 8 | edges = [(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (4, 1), (4, 2), (4, 3)] | lemmas = ['n5_X_shape_two_realizer', 'n5_two_3chains_share_middle_two_realizer']
Class  57 | |E|= 8 | edges = [(0, 1), (0, 2), (0, 3), (1, 2), (3, 2), (4, 1), (4, 2), (4, 3)] | lemmas = ['n5_bowtie_top_cap_two_realizer']
Class  58 | |E|= 9 | edges = [(0, 1), (0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 4), (2, 3), (2, 4)] | lemmas = ['n5_chain3_plus_V_top_two_realizer', 'n5_Y_up_pendant_below_two_realizer', 'n5_chain4_pendant_above_third_two_realizer', 'n5_V_with_chain_below_apex_two_realizer']
Class  59 | |E|= 9 | edges = [(0, 1), (0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 4), (2, 3), (4, 3)] | lemmas = ['n5_diamond_pendant_below_two_realizer']
Class  60 | |E|= 9 | edges = [(0, 1), (0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (2, 3), (4, 2), (4, 3)] | lemmas = ['n5_diamond_pendant_above_two_realizer']
Class  61 | |E|= 9 | edges = [(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 3), (4, 1), (4, 2), (4, 3)] | lemmas = ['n5_chain3_plus_inv_V_bottom_two_realizer', 'n5_chain4_pendant_below_second_two_realizer', 'n5_inv_V_with_chain_above_apex_two_realizer', 'n5_Y_down_pendant_above_two_realizer']
